trial_id,avg_lead_time,max_delay,scenario
1,3.827532724075134,16.738521090886987,Southeast Asia's Megafire
2,8.962914617758216,32.206056522420106,Southeast Asia's Megafire
3,5.994323733817316,20.059437162564727,Southeast Asia's Megafire
4,5.398779710322986,13.43101174167679,Southeast Asia's Megafire
5,5.3317738071867735,20.71422366338433,Southeast Asia's Megafire
6,5.809174263453704,22.959013719881064,Southeast Asia's Megafire
7,7.6511905023273385,24.523530286250484,Southeast Asia's Megafire
8,3.924854423121701,12.204913757485121,Southeast Asia's Megafire
9,3.166066118570918,12.104265581688587,Southeast Asia's Megafire
10,6.788856318482451,15.141126331335217,Southeast Asia's Megafire
11,5.509516275163621,15.880473776856446,Southeast Asia's Megafire
12,6.748193062552288,15.92729964809525,Southeast Asia's Megafire
13,4.604501071747033,17.91512762884069,Southeast Asia's Megafire
14,6.127228655843325,17.712636297979806,Southeast Asia's Megafire
15,4.586071233166608,16.63371307963508,Southeast Asia's Megafire
16,3.952149103709807,13.182246670605995,Southeast Asia's Megafire
17,7.669188454129622,27.44932055109512,Southeast Asia's Megafire
18,3.3569580722412407,15.58428065409754,Southeast Asia's Megafire
19,6.37289866612697,25.137754804930218,Southeast Asia's Megafire
20,5.4848135668952525,18.40091635407851,Southeast Asia's Megafire
21,7.2612607795626305,21.341318591251763,Southeast Asia's Megafire
22,5.36744807539875,12.622603834723822,Southeast Asia's Megafire
23,3.406388702801223,19.92074399738528,Southeast Asia's Megafire
24,7.735357088174935,17.01591053885786,Southeast Asia's Megafire
25,3.1529631257026147,8.38518978841758,Southeast Asia's Megafire
26,4.637799737102671,17.00457983332845,Southeast Asia's Megafire
27,10.546647805138111,21.412295159813794,Southeast Asia's Megafire
28,7.021711073631184,19.10504167408748,Southeast Asia's Megafire
29,3.0846040711796165,9.59703577615197,Southeast Asia's Megafire
30,6.007416994881128,18.069618702827142,Southeast Asia's Megafire
31,4.838943174914889,18.275467202319334,Southeast Asia's Megafire
32,4.584067702282495,17.528213293879446,Southeast Asia's Megafire
33,4.574263827006048,23.137956137845393,Southeast Asia's Megafire
34,5.290476503125514,15.676732682237317,Southeast Asia's Megafire
35,4.488148537476058,14.628363306503534,Southeast Asia's Megafire
36,5.701978618987686,15.475994412777252,Southeast Asia's Megafire
37,2.118262805348269,6.559064866683251,Southeast Asia's Megafire
38,4.4930252878968355,22.85350741605364,Southeast Asia's Megafire
39,6.138805162606098,26.675216342466427,Southeast Asia's Megafire
40,5.785345980380453,21.16679982353825,Southeast Asia's Megafire
41,5.5976753178861305,20.218321088305608,Southeast Asia's Megafire
42,6.363379234292993,16.349062414880173,Southeast Asia's Megafire
43,9.251136359663471,18.605555579697715,Southeast Asia's Megafire
44,2.213661442129168,8.20513760966424,Southeast Asia's Megafire
45,4.690369373182412,12.742401280285929,Southeast Asia's Megafire
46,5.838470763738063,23.15586179828292,Southeast Asia's Megafire
47,3.148049252776451,18.445323746379927,Southeast Asia's Megafire
48,4.644999456329261,10.66166495010096,Southeast Asia's Megafire
49,2.9160936027870776,25.118454144883707,Southeast Asia's Megafire
50,3.7567441057158555,11.932960931261881,Southeast Asia's Megafire
51,6.538568721713149,16.490052279355773,Southeast Asia's Megafire
52,5.091082936668968,13.990258614074262,Southeast Asia's Megafire
53,4.713633034398718,17.069064398544388,Southeast Asia's Megafire
54,5.580155629982116,14.85554765585479,Southeast Asia's Megafire
